date,Day,holiday_name,skill_id,Time,Time Hour,Time Min,Call
1/1/2014,Wed,New Year ,13,1330,,,6
1/1/2014,Wed,New Year ,13,1400,,,1
1/1/2014,Wed,New Year ,13,1430,,,3
1/1/2014,Wed,New Year ,13,1500,,,0
1/1/2014,Wed,New Year ,13,1530,,,0
1/1/2014,Wed,New Year ,13,1600,,,2
1/1/2014,Wed,New Year ,13,1630,,,2
1/1/2014,Wed,New Year ,13,1700,,,4
1/1/2014,Wed,New Year ,13,1730,,,2
1/1/2014,Wed,New Year ,13,1800,,,4
1/1/2014,Wed,New Year ,13,1830,,,7
1/1/2014,Wed,New Year ,13,1900,,,7
1/1/2014,Wed,New Year ,13,1930,,,5
1/1/2014,Wed,New Year ,13,2000,,,3
1/1/2014,Wed,New Year ,13,2030,,,3
1/1/2014,Wed,New Year ,13,2100,,,2
1/1/2014,Wed,New Year ,13,2130,,,4
1/1/2014,Wed,New Year ,13,2200,,,0
1/1/2014,Wed,New Year ,13,2230,,,13
1/1/2014,Wed,New Year ,13,2300,,,5
1/1/2014,Wed,New Year ,13,2330,,,2
1/1/2014,Wed,New Year ,14,0,,,0
1/1/2014,Wed,New Year ,14,30,,,0
1/1/2014,Wed,New Year ,14,100,,,0
1/1/2014,Wed,New Year ,14,130,,,1
1/1/2014,Wed,New Year ,14,200,,,3
1/1/2014,Wed,New Year ,14,230,,,2
1/1/2014,Wed,New Year ,14,300,,,1
1/1/2014,Wed,New Year ,14,330,,,3
1/1/2014,Wed,New Year ,14,400,,,0
1/1/2014,Wed,New Year ,14,430,,,0
1/1/2014,Wed,New Year ,14,500,,,1
1/1/2014,Wed,New Year ,14,530,,,2
1/1/2014,Wed,New Year ,14,600,,,1
1/1/2014,Wed,New Year ,14,630,,,3
1/1/2014,Wed,New Year ,14,700,,,1
1/1/2014,Wed,New Year ,14,730,,,0
1/1/2014,Wed,New Year ,14,800,,,1
1/1/2014,Wed,New Year ,14,830,,,3
1/1/2014,Wed,New Year ,14,900,,,5
1/1/2014,Wed,New Year ,14,930,,,9
1/1/2014,Wed,New Year ,14,1000,,,12
1/1/2014,Wed,New Year ,14,1030,,,16
1/1/2014,Wed,New Year ,14,1100,,,12
1/1/2014,Wed,New Year ,14,1130,,,24
1/1/2014,Wed,New Year ,14,1200,,,26
1/1/2014,Wed,New Year ,14,1230,,,25
1/1/2014,Wed,New Year ,14,1300,,,19
1/1/2014,Wed,New Year ,14,1330,,,15
1/1/2014,Wed,New Year ,14,1400,,,16
1/1/2014,Wed,New Year ,14,1430,,,17
1/1/2014,Wed,New Year ,14,1500,,,11
1/1/2014,Wed,New Year ,14,1530,,,12
1/1/2014,Wed,New Year ,14,1600,,,21
1/1/2014,Wed,New Year ,14,1630,,,26
1/1/2014,Wed,New Year ,14,1700,,,27
1/1/2014,Wed,New Year ,14,1730,,,10
1/1/2014,Wed,New Year ,14,1800,,,8
1/1/2014,Wed,New Year ,14,1830,,,6
1/1/2014,Wed,New Year ,14,1900,,,1
1/1/2014,Wed,New Year ,14,1930,,,11
1/1/2014,Wed,New Year ,14,2000,,,9
1/1/2014,Wed,New Year ,14,2030,,,3
1/1/2014,Wed,New Year ,14,2100,,,10
1/1/2014,Wed,New Year ,14,2130,,,4
1/1/2014,Wed,New Year ,14,2200,,,18
1/1/2014,Wed,New Year ,14,2230,,,3
1/1/2014,Wed,New Year ,14,2300,,,5
1/1/2014,Wed,New Year ,14,2330,,,6
1/1/2014,Wed,New Year ,31,0,,,0
1/1/2014,Wed,New Year ,31,30,,,0
1/1/2014,Wed,New Year ,31,100,,,1
1/1/2014,Wed,New Year ,31,130,,,0
1/1/2014,Wed,New Year ,31,200,,,0
1/1/2014,Wed,New Year ,31,230,,,0
1/1/2014,Wed,New Year ,31,300,,,0
1/1/2014,Wed,New Year ,31,330,,,0
1/1/2014,Wed,New Year ,31,400,,,0
1/1/2014,Wed,New Year ,31,430,,,0
1/1/2014,Wed,New Year ,31,500,,,1
1/1/2014,Wed,New Year ,31,530,,,0
1/1/2014,Wed,New Year ,31,600,,,0
1/1/2014,Wed,New Year ,31,630,,,1
1/1/2014,Wed,New Year ,31,700,,,2
1/1/2014,Wed,New Year ,31,730,,,1
1/1/2014,Wed,New Year ,31,800,,,1
1/1/2014,Wed,New Year ,31,830,,,1
1/1/2014,Wed,New Year ,31,900,,,2
1/1/2014,Wed,New Year ,31,930,,,0
1/1/2014,Wed,New Year ,31,1000,,,0
1/1/2014,Wed,New Year ,31,1030,,,1
1/1/2014,Wed,New Year ,31,1100,,,1
1/1/2014,Wed,New Year ,31,1130,,,1
1/1/2014,Wed,New Year ,31,1200,,,1
1/1/2014,Wed,New Year ,31,1230,,,0
1/1/2014,Wed,New Year ,31,1300,,,2
1/1/2014,Wed,New Year ,31,1330,,,1
1/1/2014,Wed,New Year ,31,1400,,,0
1/1/2014,Wed,New Year ,31,1430,,,1
1/1/2014,Wed,New Year ,31,1500,,,0
1/1/2014,Wed,New Year ,31,1530,,,1
1/1/2014,Wed,New Year ,31,1600,,,4
1/1/2014,Wed,New Year ,31,1630,,,3
1/1/2014,Wed,New Year ,31,1700,,,1
1/1/2014,Wed,New Year ,31,1730,,,3
1/1/2014,Wed,New Year ,31,1800,,,0
1/1/2014,Wed,New Year ,31,1830,,,0
